byte,length,type,content
0,1,uint8,ヘッダー0 0xff
1,1,uint8,ヘッダー1 0xff
2,1,uint8,ヘッダー2 0x48
3,1,uint8,ヘッダー3 0x45
4,1,uint8,ヘッダー4 0x41
5,1,uint8,ヘッダー5 0x44
6,1,uint8,チェックサム
7,1,uint8,printfデータのデータ長
8,4,uint32,経過時間[ms]
12,2,uint16,AD000
14,2,uint16,AD001
16,2,uint16,AD002
18,2,uint16,AD003
20,2,uint16,AD004
22,2,uint16,AD005
24,2,uint16,AD006
26,2,uint16,AD007
28,2,uint16,AD108
30,2,uint16,AD109
32,2,uint16,AD110
34,2,int16,mpu9250 gyro X
36,2,int16,mpu9250 gyro Y
38,2,int16,mpu9250 gyro Z
40,2,int16,mpu9250 acc X
42,2,int16,mpu9250 acc Y
44,2,int16,mpu9250 acc Z
46,2,int16,mpu9250 mag X
48,2,int16,mpu9250 mag Y
50,2,int16,mpu9250 mag Z
52,2,int16,Icm20608G gyro X
54,2,int16,Icm20608G gyro Y
56,2,int16,Icm20608G gyro Z
58,2,int16,Icm20608G acc X
60,2,int16,Icm20608G acc Y
62,2,int16,Icm20608G acc Z
64,2,uint16,CMT0[us]
66,2,uint16,CMT1[us]
68,2,uint16,main[us]
70,2,int16,dutyR
72,2,int16,dutyL
74,2,uint16,encR
76,2,uint16,encL
78,2,uint16,TactSW
80,2,uint16,Start x
82,2,uint16,Start y
84,2,uint16,Goal x
86,2,uint16,Goal y
88,2,uint16,ab_pos x
90,2,uint16,ab_pos y
92,2,uint16,dir
94,2,uint16,R Sen
96,2,uint16,H Sen
98,2,uint16,L Sen
100,2,int16,t_ang_a
102,2,int16,t_ang_v
104,2,int16,t_ang
106,2,int16,accum_ang
108,2,int16,gyro_ang_v
110,2,int16,t_a
112,2,int16,t_v
114,2,int16,t_x
116,2,int16,accum_x
118,2,int16,acc_v_a
120,2,int16,acc_h_a
122,2,int16,enc_v
124,2,int16,wall P
126,2,int16,wall I
128,2,int16,wall D
130,2,int16,v P
132,2,int16,v I
134,2,int16,v D
136,2,int16,ang P
138,2,int16,ang I
140,2,int16,ang D
142,2,int16,ang_v P
144,2,int16,ang_v I
146,2,int16,ang_v D
148,2,int16,v FF
150,2,int16,ang FF
152,2,int16,q0
154,2,int16,q1
156,2,int16,q2
158,2,int16,q3
160,1,uint16,161byte以降データ種別
161,89,-,160byteで指定したデータ
